region,capacity_scenario,lifetime_scenario,price_scenario,year,annual_material_tonnes,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,present_value_3pct_real_2026_usd,present_value_5pct_real_2026_usd,present_value_7pct_real_2026_usd
India,High,Regular_Loss,Downside,2075,2892374.402631937,7152459650.188606,6103439331.7835865,1434004854.3264909,558854789.9354115,221701956.3593195
India,High,Regular_Loss,Reference,2045,656115.8115303882,2001050534.7832596,1719699072.9960098,980720351.6510441,680543319.0345765,475511123.95441216
India,High,Regular_Loss,Reference,2060,5506144.227294682,16792878112.359703,14431767924.285786,5282675042.954216,2747156291.3927345,1446342324.2015352
India,High,Regular_Loss,Reference,2075,2892374.402631937,8821289235.020952,7580999408.26248,1781158026.0138016,694145972.7046943,275373000.1408048
India,High,Regular_Loss,Upside,2045,656115.8115303882,2479664512.542041,2142236719.7174037,1221687667.3782487,847755813.9601372,592346304.2836677
India,High,Regular_Loss,Upside,2060,5506144.227294682,20809421448.80542,17977716952.526703,6580651599.48917,3422144708.126999,1801715012.1433668
India,High,Regular_Loss,Upside,2075,2892374.402631937,10931177144.569118,9443684397.783865,2218796408.54757,864700699.6295571,343033360.7685481
India,Medium,Early_Loss,Downside,2045,1468494.1823175747,3631392041.087617,3098791478.273574,1767197480.0632865,1226297013.666677,856841666.0056201
India,Medium,Early_Loss,Downside,2060,2746877.9583469206,6792666171.845158,5796415206.595727,2121748223.165038,1103375455.1670437,580912933.6009388
India,Medium,Early_Loss,Downside,2075,1502405.7467406993,3715250858.2554274,3170351085.464838,744874913.8540692,290289751.9866391,115160158.03306898
India,Medium,Early_Loss,Reference,2045,1468494.1823175747,4478677418.242023,3848966965.36112,2195012078.0061436,1523166927.628725,1064271439.4057919
India,Medium,Early_Loss,Reference,2060,2746877.9583469206,8377547851.976852,7199648896.715525,2635394758.580432,1370487723.0701199,721544094.4825122
India,Medium,Early_Loss,Reference,2075,1502405.7467406993,4582102382.145803,3937850185.179075,925199051.5824609,360564973.02681863,143038874.05873293
India,Medium,Early_Loss,Upside,2045,1468494.1823175747,5549893550.460003,4794675124.067471,2734336226.358409,1897415759.4565191,1325767625.8844347
India,Medium,Early_Loss,Upside,2060,2746877.9583469206,10381301096.386278,8968634383.658052,3282922873.794492,1707222600.968117,898830660.763674
India,Medium,Early_Loss,Upside,2075,1502405.7467406993,5678055837.341438,4905397343.001397,1152524539.0140784,449157377.1196412,178184156.26741564
India,Medium,Fixed_25,Downside,2045,385419.5209091829,953091539.3212848,813305725.9163005,463816891.0161951,321852693.181157,224885810.50128675
India,Medium,Fixed_25,Downside,2060,6291124.7218782585,15557120021.043232,13275424521.01905,4859401437.837383,2527040774.5717487,1330454346.0806084
India,Medium,Fixed_25,Downside,2075,338128.3150627528,836146637.126893,713512626.6730194,167640000.11340398,65332008.30212702,25917705.84115214
India,Medium,Fixed_25,Reference,2045,385419.5209091829,1175469215.7658935,1010196037.306426,576100684.4166324,399768875.20581174,279327622.2897554
India,Medium,Fixed_25,Reference,2060,6291124.7218782585,19186945761.510002,16489225167.552975,6035796773.29072,3138803152.6620016,1652539340.865356
India,Medium,Fixed_25,Reference,2075,338128.3150627528,1031238439.6033515,886244379.0385433,208223375.8010425,81148003.50350821,32192031.732357383
India,Medium,Fixed_25,Upside,2045,385419.5209091829,1456619535.2162943,1258405658.9974446,717651163.3872943,497993850.9672044,347959651.02079
India,Medium,Fixed_25,Upside,2060,6291124.7218782585,23776105441.55423,20540700514.584915,7518818660.504798,3910020930.5124707,2058575545.2038758
India,Medium,Fixed_25,Upside,2075,338128.3150627528,1277891446.6198773,1103998531.6221204,259384777.57471266,101086425.85595857,40101755.90733942
India,Medium,Regular_Loss,Downside,2045,617176.4702474454,1526195846.7319553,1302355303.5637102,742715031.5667862,515386217.720888,360112093.976227
India,Medium,Regular_Loss,Downside,2060,4061776.5177085754,10044236536.099329,8571091810.430531,3137404442.4339933,1631548464.100891,858989204.5853655
India,Medium,Regular_Loss,Downside,2075,1436854.4156868742,3553151079.6264906,3032025780.1929417,712375342.9640727,277624145.72462237,110135615.4553978
India,Medium,Regular_Loss,Reference,2045,617176.4702474454,1882291638.3674073,1617637900.3637595,922516291.0188322,640154247.3310567,447290359.24473715
India,Medium,Regular_Loss,Reference,2060,4061776.5177085754,12387782659.851948,10646037162.140368,3896927605.6720743,2026524270.7484946,1066938868.0173111
India,Medium,Regular_Loss,Reference,2075,1436854.4156868742,4382181082.04018,3766038195.183012,884831774.3322668,344833194.86731076,136797957.71018234
India,Medium,Regular_Loss,Upside,2045,617176.4702474454,2332500702.397215,2015098666.8432364,1149182612.3480353,797442969.2088509,557191573.2211878
India,Medium,Regular_Loss,Upside,2060,4061776.5177085754,15350709298.326462,13261815445.699245,4854419905.226355,2524450221.766231,1329090453.4701157
India,Medium,Regular_Loss,Upside,2075,1436854.4156868742,5430317089.840554,4691370389.311146,1102238843.7094212,429560231.68358946,170409819.24735916
Karnataka,Conservative,Early_Loss,Downside,2045,35689.07383842441,88254363.04153863,75310477.36494824,42948512.913765706,29802913.21244385,20823974.554432377
Karnataka,Conservative,Early_Loss,Downside,2060,39037.5115010789,96534606.86181134,82376293.64090276,30153422.146954395,15680722.86946928,8255698.167318455
Karnataka,Conservative,Early_Loss,Downside,2075,19833.710299730974,49046144.407608375,41852758.56003478,9833317.852363396,3832202.357035744,1520263.8950590575
Karnataka,Conservative,Early_Loss,Reference,2045,35689.07383842441,108846089.41784474,93542124.90759647,53345766.75309795,37017795.237428926,25865177.0244912
Karnataka,Conservative,Early_Loss,Reference,2060,39037.5115010789,119058300.21629287,102318479.69627416,37453157.642241865,19476813.700028367,10254290.985627841
Karnataka,Conservative,Early_Loss,Reference,2075,19833.710299730974,60489712.18882864,51984745.097000375,12213831.049622204,4759926.694075996,1888299.2133351117
Karnataka,Conservative,Early_Loss,Upside,2045,35689.07383842441,134880044.5400252,116525837.55152729,66453056.91819225,46113230.78894529,32220365.09406466
