region,capacity_scenario,lifetime_scenario,price_scenario,material,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
Gujarat,Medium,Early_Loss,Downside,Glass,4519997.591474206,2558025629.056779,1790617940.339745,826671532.8316339,527568065.3061835,353367352.53242004
Gujarat,Medium,Early_Loss,Downside,Polymers,581142.5474752551,615097818.2709974,369058690.9625984,170608072.82672027,109016290.31868541,73134948.85776596
Gujarat,Medium,Early_Loss,Downside,Silicon,225999.87957371032,541514745.2319593,406136058.9239695,187748160.42871574,119968578.42057756,80482429.017528
Gujarat,Medium,Early_Loss,Downside,Silver,3551.4266790154475,4951590083.473656,4704010579.299973,2177626207.787859,1393336029.7294722,936304423.1116391
Gujarat,Medium,Early_Loss,Reference,Aluminium,839428.124130924,2606634182.457552,2085307345.9660416,961523970.0040863,612902334.4063625,409913971.5536679
Gujarat,Medium,Early_Loss,Reference,Copper,193714.18249175168,2584292480.076836,2377549081.6706896,1096275058.1154852,698796455.6594427,467360645.1906102
Gujarat,Medium,Early_Loss,Reference,Glass,4519997.591474206,2796477309.869177,1957534116.908424,902608423.237618,575347913.2244941,384797275.0232671
Gujarat,Medium,Early_Loss,Reference,Polymers,581142.5474752551,735732276.5291476,441439365.9174886,203545310.69684452,129745487.34654444,86774817.16707928
Gujarat,Medium,Early_Loss,Reference,Silicon,225999.87957371032,647717914.8570496,485788436.14278716,223994427.7785591,142780327.85694653,95492622.50447088
Gujarat,Medium,Early_Loss,Reference,Silver,3551.4266790154475,6485710259.824607,6161424746.833376,2840999718.778685,1810932866.9984956,1211166350.7488797
Gujarat,Medium,Early_Loss,Upside,Aluminium,839428.124130924,3107602299.637439,2486081839.709951,1143715151.2346144,727456947.5196626,485202339.83868796
Gujarat,Medium,Early_Loss,Upside,Copper,193714.18249175168,3080966753.2445545,2834489412.98499,1303999102.468511,829405123.8423549,553200169.6246499
Gujarat,Medium,Early_Loss,Upside,Glass,4519997.591474206,3054640736.583209,2138248515.608246,984781286.8010014,627027051.62996,418772122.84224427
Gujarat,Medium,Early_Loss,Upside,Polymers,581142.5474752551,877132406.9355485,526279444.1613291,242113418.9777389,153995589.31519786,102712635.45606878
Gujarat,Medium,Early_Loss,Upside,Silicon,225999.87957371032,772202595.6969559,579151946.7727169,266437269.20440364,169466708.8668748,113031628.80954805
Gujarat,Medium,Early_Loss,Upside,Silver,3551.4266790154475,8432421293.573814,8010800228.895124,3681513299.3642454,2339291828.7481527,1558317284.5518858
Gujarat,Medium,Fixed_25,Downside,Aluminium,895282.6255559142,2317882454.545909,1854305963.6367273,827746387.9116836,494099004.0767036,299904636.6103495
Gujarat,Medium,Fixed_25,Downside,Copper,206603.6828205956,2298015669.900231,2114174416.3082125,943749451.7260008,563343641.2476432,341934245.2042222
Gujarat,Medium,Fixed_25,Downside,Glass,4820752.59914723,2724612168.7618265,1907228518.1332784,851370565.4652437,508200766.1282351,308464022.0548375
Gujarat,Medium,Fixed_25,Downside,Polymers,619811.0484617867,654231018.1025186,392538610.86151105,175225892.39762622,104595973.09817109,63486906.559405275
Gujarat,Medium,Fixed_25,Downside,Silicon,241037.62995736155,575966509.0123037,431974881.75922775,192829907.82357597,115104175.38904083,69865099.11488369
Gujarat,Medium,Fixed_25,Downside,Silver,3787.7341850442526,5258716910.8202915,4995781065.279277,2230074115.4239364,1331177538.8451076,807988505.8607116
Gujarat,Medium,Fixed_25,Reference,Aluminium,895282.6255559142,2780076373.0075026,2224061098.4060025,992801930.6425085,592624084.308575,359706676.56620795
