material,price_scenario,year,base_price_usd_t,annual_real_growth_rate,price_real_2026_usd_t,quality_discount,quality_factor,quality_adjusted_price_real_2026_usd_t
Copper,Upside,2052,14286.0,0.025,33722.522187128794,0.08,0.92,31024.72041215849
Copper,Upside,2053,14286.0,0.025,34565.58524180701,0.08,0.92,31800.338422462453
Copper,Upside,2054,14286.0,0.025,35429.72487285219,0.08,0.92,32595.346883024016
Copper,Upside,2055,14286.0,0.025,36315.46799467349,0.08,0.92,33410.23055509961
Copper,Upside,2056,14286.0,0.025,37223.35469454032,0.08,0.92,34245.4863189771
Copper,Upside,2057,14286.0,0.025,38153.93856190383,0.08,0.92,35101.62347695152
Copper,Upside,2058,14286.0,0.025,39107.787025951424,0.08,0.92,35979.16406387531
Copper,Upside,2059,14286.0,0.025,40085.481701600205,0.08,0.92,36878.64316547219
Copper,Upside,2060,14286.0,0.025,41087.61874414021,0.08,0.92,37800.60924460899
Copper,Upside,2061,14286.0,0.025,42114.80921274371,0.08,0.92,38745.62447572422
Copper,Upside,2062,14286.0,0.025,43167.6794430623,0.08,0.92,39714.265087617314
Copper,Upside,2063,14286.0,0.025,44246.87142913885,0.08,0.92,40707.12171480775
Copper,Upside,2064,14286.0,0.025,45353.04321486732,0.08,0.92,41724.79975767794
Copper,Upside,2065,14286.0,0.025,46486.869295239,0.08,0.92,42767.91975161988
Copper,Upside,2066,14286.0,0.025,47649.04102761997,0.08,0.92,43837.117745410374
Copper,Upside,2067,14286.0,0.025,48840.26705331046,0.08,0.92,44933.045689045626
Copper,Upside,2068,14286.0,0.025,50061.27372964322,0.08,0.92,46056.37183127176
Copper,Upside,2069,14286.0,0.025,51312.805572884296,0.08,0.92,47207.78112705355
Copper,Upside,2070,14286.0,0.025,52595.6257122064,0.08,0.92,48387.975655229886
Copper,Upside,2071,14286.0,0.025,53910.516355011554,0.08,0.92,49597.67504661063
Copper,Upside,2072,14286.0,0.025,55258.27926388684,0.08,0.92,50837.616922775895
Copper,Upside,2073,14286.0,0.025,56639.736245484004,0.08,0.92,52108.557345845285
Copper,Upside,2074,14286.0,0.025,58055.7296516211,0.08,0.92,53411.27127949141
Copper,Upside,2075,14286.0,0.025,59507.12289291162,0.08,0.92,54746.55306147869
Glass,Downside,2026,45.0,0.0,45.0,0.3,0.7,31.499999999999996
Glass,Downside,2027,45.0,0.0,45.0,0.3,0.7,31.499999999999996
Glass,Downside,2028,45.0,0.0,45.0,0.3,0.7,31.499999999999996
Glass,Downside,2029,45.0,0.0,45.0,0.3,0.7,31.499999999999996
Glass,Downside,2030,45.0,0.0,45.0,0.3,0.7,31.499999999999996
Glass,Downside,2031,45.0,0.0,45.0,0.3,0.7,31.499999999999996
Glass,Downside,2032,45.0,0.0,45.0,0.3,0.7,31.499999999999996
Glass,Downside,2033,45.0,0.0,45.0,0.3,0.7,31.499999999999996
