region,capacity_scenario,lifetime_scenario,price_scenario,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
Tamil Nadu,High,Fixed_25,Upside,4275312.666530758,27608958994.293552,24586953370.36699,9904273834.710209,5590369001.682973,3238260495.1399784
Tamil Nadu,High,Regular_Loss,Downside,4142219.714066158,10243234762.584635,8910556323.91884,3476105858.704212,1948506509.013284,1134394321.6723852
Tamil Nadu,High,Regular_Loss,Reference,4142219.714066158,16960823168.337496,15002923343.911947,5703973098.321545,3140909979.2416058,1795695989.3035028
Tamil Nadu,High,Regular_Loss,Upside,4142219.714066158,28715397860.77692,25613625943.80139,9498215586.391012,5140403139.837549,2887162759.7782106
Tamil Nadu,Medium,Early_Loss,Downside,2629619.4910121285,6503547708.657455,5657255088.060229,2598556446.7714753,1658683044.0757897,1114282588.8447134
Tamil Nadu,Medium,Early_Loss,Reference,2629619.4910121285,10191637441.695063,8999601166.344496,3945387811.90646,2441910826.616371,1592425062.837637
Tamil Nadu,Medium,Early_Loss,Upside,2629619.4910121285,16451831563.461308,14646523316.807686,6136253089.329931,3683434441.2134714,2331218680.107684
Tamil Nadu,Medium,Fixed_25,Downside,2861284.476530195,7075578371.690322,6155032464.200543,2717255135.056434,1624341715.8856773,993523463.6302068
Tamil Nadu,Medium,Fixed_25,Reference,2861284.476530195,11041673597.852324,9747695685.441875,4243338757.7375946,2513887137.0379977,1524239895.7109163
Tamil Nadu,Medium,Fixed_25,Upside,2861284.476530195,17516530425.949818,15580909730.426931,6687012790.02015,3925722179.7809668,2359355677.825584
Tamil Nadu,Medium,Regular_Loss,Downside,2815697.3470955812,6962920180.248848,6057016786.061735,2492877601.624857,1445609439.6759348,869113821.0911134
Tamil Nadu,Medium,Regular_Loss,Reference,2815697.3470955812,11272994860.342985,9964388614.396053,3998035768.2111354,2278796820.322732,1346445614.198384
Tamil Nadu,Medium,Regular_Loss,Upside,2815697.3470955812,18651351886.067924,16620712503.705475,6504915417.513254,3645407481.146933,2117406506.20913
