region,fiscal_year_end_year,data_type,series,record_type,capacity_gw
Rajasthan,2025,Historical,Actual,Annual addition,6.93889
Rajasthan,2026,Historical,Actual,Annual addition,12.72615
Rajasthan,2027,Forecast,Conservative,Annual addition,11.966713724845754
Rajasthan,2027,Forecast,High,Annual addition,13.560576333148624
Rajasthan,2027,Forecast,Medium,Annual addition,13.007006427798167
Rajasthan,2028,Forecast,Conservative,Annual addition,15.122402275396183
Rajasthan,2028,Forecast,High,Annual addition,18.176718800537927
Rajasthan,2028,Forecast,Medium,Annual addition,17.061836092127137
Rajasthan,2029,Forecast,Conservative,Annual addition,17.008903877710793
Rajasthan,2029,Forecast,High,Annual addition,22.83380280263728
Rajasthan,2029,Forecast,Medium,Annual addition,20.59812066065703
Rajasthan,2030,Forecast,Conservative,Annual addition,18.071041555037908
Rajasthan,2030,Forecast,High,Annual addition,27.839159089454284
Rajasthan,2030,Forecast,Medium,Annual addition,23.86042249538727
Rajasthan,2031,Forecast,Conservative,Annual addition,18.07347681627188
Rajasthan,2031,Forecast,High,Annual addition,32.73059048871016
Rajasthan,2031,Forecast,Medium,Annual addition,26.3512431506324
Rajasthan,2032,Forecast,Conservative,Annual addition,17.015646701866288
Rajasthan,2032,Forecast,High,Annual addition,36.877126586290615
Rajasthan,2032,Forecast,Medium,Annual addition,27.61141765914093
Rajasthan,2033,Forecast,Conservative,Annual addition,15.132023041428395
Rajasthan,2033,Forecast,High,Annual addition,39.60755451448247
Rajasthan,2033,Forecast,Medium,Annual addition,27.38283414598513
Rajasthan,2034,Forecast,Conservative,Annual addition,12.789677052430475
Rajasthan,2034,Forecast,High,Annual addition,40.41259960763088
Rajasthan,2034,Forecast,Medium,Annual addition,25.713590254624933
Rajasthan,2035,Forecast,Conservative,Annual addition,10.353385081826076
Rajasthan,2035,Forecast,High,Annual addition,39.13200506095444
Rajasthan,2035,Forecast,Medium,Annual addition,22.93772245641901
Rajasthan,2036,Forecast,Conservative,Annual addition,8.092324564108452
Rajasthan,2036,Forecast,High,Annual addition,36.01853809936853
Rajasthan,2036,Forecast,Medium,Annual addition,19.543113040432047
Rajasthan,2037,Forecast,Conservative,Annual addition,6.153377018739803
Rajasthan,2037,Forecast,High,Annual addition,31.63810826743469
Rajasthan,2037,Forecast,Medium,Annual addition,16.009859738449393
Rajasthan,2038,Forecast,Conservative,Annual addition,4.58180577519974
Rajasthan,2038,Forecast,High,Annual addition,26.66890662732908
Rajasthan,2038,Forecast,Medium,Annual addition,12.698866145478917
Rajasthan,2039,Forecast,Conservative,Annual addition,3.3585599732602134
Rajasthan,2039,Forecast,High,Annual addition,21.71059341678449
Rajasthan,2039,Forecast,Medium,Annual addition,9.81720477768937
Rajasthan,2040,Forecast,Conservative,Annual addition,2.43371466916696
Rajasthan,2040,Forecast,High,Annual addition,17.178412378226028
Rajasthan,2040,Forecast,Medium,Annual addition,7.43982022542184
Rajasthan,2041,Forecast,Conservative,Annual addition,1.7488695381872503
Rajasthan,2041,Forecast,High,Annual addition,13.288915014283075
Rajasthan,2041,Forecast,Medium,Annual addition,5.553506579554892
Rajasthan,2042,Forecast,Conservative,Annual addition,1.2492071087482088
Rajasthan,2042,Forecast,High,Annual addition,10.101639733705554
Rajasthan,2042,Forecast,Medium,Annual addition,4.098818882587636
Rajasthan,2043,Forecast,Conservative,Annual addition,0.8884746868401976
Rajasthan,2043,Forecast,High,Annual addition,7.577078613191304
Rajasthan,2043,Forecast,Medium,Annual addition,2.9999803586555345
Rajasthan,2044,Forecast,Conservative,Annual addition,0.6299809124661806
Rajasthan,2044,Forecast,High,Annual addition,5.626776604241968
Rajasthan,2044,Forecast,Medium,Annual addition,2.182312745136244
Rajasthan,2045,Forecast,Conservative,Annual addition,0.4457254947031401
Rajasthan,2045,Forecast,High,Annual addition,4.147453702463338
Rajasthan,2045,Forecast,Medium,Annual addition,1.5804405027772075
Rajasthan,2046,Forecast,Conservative,Annual addition,0.3148768177279635
Rajasthan,2046,Forecast,High,Annual addition,3.040295885010778
Rajasthan,2046,Forecast,Medium,Annual addition,1.1408679124111814
Rajasthan,2047,Forecast,Conservative,Annual addition,0.2221993019233821
Rajasthan,2047,Forecast,High,Annual addition,2.219722393025961
Rajasthan,2047,Forecast,Medium,Annual addition,0.8216344893221503
