region,capacity_scenario,lifetime_scenario,year,material,source_range,raw_midpoint_weight_percent,normalized_weight_percent,annual_material_tonnes,cumulative_material_tonnes
Karnataka,Conservative,Fixed_25,2045,Polymers,8-10%,9.0,9.101941747572816,6089.872572815535,45234.61165048544
Karnataka,Conservative,Fixed_25,2045,Silicon,3-4%,3.5,3.5396440129449838,2368.2837783171526,17591.237864077673
Karnataka,Conservative,Fixed_25,2045,Copper,2-4%,3.0,3.033980582524272,2029.957524271845,15078.203883495147
Karnataka,Conservative,Fixed_25,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,37.21588794498383,276.43373786407767
Karnataka,Conservative,Fixed_25,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,43.982413025889976,326.6944174757282
Karnataka,Conservative,Fixed_25,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,20.29957524271845,150.7820388349515
Karnataka,Conservative,Fixed_25,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,20.29957524271845,150.7820388349515
Karnataka,Conservative,Fixed_25,2045,Other,<0.20%,0.2,0.2022653721682848,135.330501618123,1005.2135922330099
Karnataka,Conservative,Early_Loss,2045,Glass,68-72%,70.0,70.79288025889969,25348.63952807781,301733.9954376924
Karnataka,Conservative,Early_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,4707.604483785879,56036.31343842859
Karnataka,Conservative,Early_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,3259.110796467147,38794.37084198902
Karnataka,Conservative,Early_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,1267.4319764038905,15086.69977188462
Karnataka,Conservative,Early_Loss,2045,Copper,2-4%,3.0,3.033980582524272,1086.370265489049,12931.456947329672
Karnataka,Conservative,Early_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,19.916788200632563,237.076710701044
Karnataka,Conservative,Early_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,23.538022418929394,280.1815671921429
Karnataka,Conservative,Early_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,10.86370265489049,129.31456947329673
Karnataka,Conservative,Early_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,10.86370265489049,129.31456947329673
Karnataka,Conservative,Early_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,72.4246843659366,862.0971298219783
Karnataka,Conservative,Regular_Loss,2045,Glass,68-72%,70.0,70.79288025889969,28794.199608673833,178977.78506506543
Karnataka,Conservative,Regular_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,5347.494213039426,33238.73151208358
Karnataka,Conservative,Regular_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,3702.111378258064,23011.429508365552
Karnataka,Conservative,Regular_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,1439.7099804336917,8948.889253253272
Karnataka,Conservative,Regular_Loss,2045,Copper,2-4%,3.0,3.033980582524272,1234.0371260860213,7670.476502788518
Karnataka,Conservative,Regular_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,22.624013978243724,140.62540255112282
Karnataka,Conservative,Regular_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,26.737471065197127,166.19365756041788
Karnataka,Conservative,Regular_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,12.340371260860215,76.70476502788519
Karnataka,Conservative,Regular_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,12.340371260860215,76.70476502788519
Karnataka,Conservative,Regular_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,82.2691417390681,511.36510018590127
Karnataka,Medium,Fixed_25,2045,Glass,68-72%,70.0,70.79288025889969,47365.67556634305,351824.75728155347
Karnataka,Medium,Fixed_25,2045,Aluminium,12-14%,13.0,13.147249190938512,8796.482605177995,65338.88349514564
Karnataka,Medium,Fixed_25,2045,Polymers,8-10%,9.0,9.101941747572816,6089.872572815535,45234.61165048544
Karnataka,Medium,Fixed_25,2045,Silicon,3-4%,3.5,3.5396440129449838,2368.2837783171526,17591.237864077673
Karnataka,Medium,Fixed_25,2045,Copper,2-4%,3.0,3.033980582524272,2029.957524271845,15078.203883495147
Karnataka,Medium,Fixed_25,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,37.21588794498383,276.43373786407767
Karnataka,Medium,Fixed_25,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,43.982413025889976,326.6944174757282
Karnataka,Medium,Fixed_25,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,20.29957524271845,150.7820388349515
Karnataka,Medium,Fixed_25,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,20.29957524271845,150.7820388349515
Karnataka,Medium,Fixed_25,2045,Other,<0.20%,0.2,0.2022653721682848,135.330501618123,1005.2135922330099
Karnataka,Medium,Early_Loss,2045,Glass,68-72%,70.0,70.79288025889969,27119.97733361415,312865.0409064985
Karnataka,Medium,Early_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,5036.56721909977,58103.507596921154
Karnataka,Medium,Early_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,3486.8542286075335,40225.50525940695
Karnataka,Medium,Early_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,1355.9988666807076,15643.252045324925
Karnataka,Medium,Early_Loss,2045,Copper,2-4%,3.0,3.033980582524272,1162.2847428691778,13408.50175313565
Karnataka,Medium,Early_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,21.30855361926826,245.82253214082024
Karnataka,Medium,Early_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,25.182836095498853,290.5175379846057
Karnataka,Medium,Early_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,11.62284742869178,134.0850175313565
Karnataka,Medium,Early_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,11.62284742869178,134.0850175313565
Karnataka,Medium,Early_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,77.48564952461186,893.9001168757101
